timestamp;user_present;activity;outdoor_temp;humidity;light_level;day_of_week;hour_of_day;price_kWh
2022-01-01 00:00:00;1;sleeping;10.1;59.1;47.3;5;0;1500
2022-01-01 00:15:00;1;sleeping;5.0;85.7;41.4;5;0;1500
2022-01-01 00:30:00;1;sleeping;4.3;100.0;10.7;5;0;1500
2022-01-01 00:45:00;1;sleeping;4.2;68.4;70.7;5;0;1500
2022-01-01 01:00:00;1;sleeping;4.4;68.9;81.2;5;1;1500
2022-01-01 01:15:00;1;sleeping;11.5;51.1;34.6;5;1;1500
2022-01-01 01:30:00;1;sleeping;4.4;87.3;85.2;5;1;1500
2022-01-01 01:45:00;1;sleeping;10.2;64.0;31.3;5;1;1500
2022-01-01 02:00:00;1;sleeping;6.3;80.6;51.5;5;2;1500
2022-01-01 02:15:00;1;sleeping;11.3;74.2;81.0;5;2;1500
2022-01-01 02:30:00;1;sleeping;12.1;43.5;86.1;5;2;1500
2022-01-01 02:45:00;1;sleeping;10.9;52.0;66.1;5;2;1500
2022-01-01 03:00:00;1;sleeping;5.5;100.0;5.6;5;3;1500
2022-01-01 03:15:00;1;sleeping;11.9;53.3;36.0;5;3;1500
2022-01-01 03:30:00;1;sleeping;12.3;38.5;59.3;5;3;1500
2022-01-01 03:45:00;1;sleeping;11.7;46.5;98.8;5;3;1500
2022-01-01 04:00:00;1;sleeping;13.0;68.1;32.2;5;4;1500
2022-01-01 04:15:00;1;sleeping;13.4;49.7;96.1;5;4;1500
2022-01-01 04:30:00;1;sleeping;6.0;97.0;30.2;5;4;1500
2022-01-01 04:45:00;1;sleeping;6.0;89.5;30.4;5;4;1500
2022-01-01 05:00:00;1;sleeping;13.8;47.7;32.5;5;5;1500
2022-01-01 05:15:00;1;sleeping;13.8;57.5;43.4;5;5;1500
2022-01-01 05:30:00;1;sleeping;13.6;70.6;28.9;5;5;1500
2022-01-01 05:45:00;1;sleeping;7.3;97.4;4.6;5;5;1500
2022-01-01 06:00:00;1;sleeping;9.2;80.8;35.0;5;6;2500
2022-01-01 06:15:00;1;sleeping;14.4;39.9;20.7;5;6;2500
2022-01-01 06:30:00;1;sleeping;14.3;44.4;74.5;5;6;2500
2022-01-01 06:45:00;1;cooking;15.4;53.6;73.0;5;6;2500
2022-01-01 07:00:00;1;sleeping;10.4;96.1;57.1;5;7;2500
2022-01-01 07:15:00;1;cooking;14.9;48.0;57.1;5;7;2500
2022-01-01 07:30:00;1;cooking;10.2;76.7;57.1;5;7;2500
2022-01-01 07:45:00;1;idle;16.1;73.4;57.1;5;7;2500
2022-01-01 08:00:00;1;cooking;11.2;66.9;166.8;5;8;2500
2022-01-01 08:15:00;1;idle;10.2;71.0;166.8;5;8;2500
2022-01-01 08:30:00;1;idle;10.6;89.6;166.8;5;8;2500
2022-01-01 08:45:00;1;idle;16.0;56.5;166.8;5;8;2500
2022-01-01 09:00:00;1;idle;17.3;66.9;262.9;5;9;2500
2022-01-01 09:15:00;1;idle;17.4;43.1;262.9;5;9;2500
2022-01-01 09:30:00;1;idle;11.7;67.0;262.9;5;9;2500
2022-01-01 09:45:00;1;idle;18.1;43.6;262.9;5;9;2500
2022-01-01 10:00:00;1;idle;12.3;67.8;337.7;5;10;2500
2022-01-01 10:15:00;1;idle;12.4;75.6;337.7;5;10;2500
2022-01-01 10:30:00;1;idle;18.3;63.0;337.7;5;10;2500
2022-01-01 10:45:00;1;idle;19.3;37.4;337.7;5;10;2500
2022-01-01 11:00:00;1;idle;19.5;43.6;385.2;5;11;2500
2022-01-01 11:15:00;1;idle;13.0;74.9;385.2;5;11;2500
2022-01-01 11:30:00;1;idle;18.9;33.5;385.2;5;11;2500
2022-01-01 11:45:00;1;idle;19.4;47.1;385.2;5;11;2500
2022-01-01 12:00:00;1;idle;18.8;48.7;401.5;5;12;2500
2022-01-01 12:15:00;1;idle;12.6;100.0;401.5;5;12;2500
2022-01-01 12:30:00;1;idle;18.1;55.6;401.5;5;12;2500
2022-01-01 12:45:00;1;idle;19.7;69.9;401.5;5;12;2500
2022-01-01 13:00:00;1;idle;18.6;42.0;385.2;5;13;2500
2022-01-01 13:15:00;1;idle;19.8;69.1;385.2;5;13;2500
2022-01-01 13:30:00;1;idle;19.6;49.9;385.2;5;13;2500
